'Time and date','Direct_1','Abdomen_1','Abdomen_2','Abdomen_3','Abdomen_4','EDF Annotations'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV',''
'[00:00:00.000 01/01/2011]',-11.700,-30.200,-21.600,-40.901,-43.601,0.688
'[00:00:00.001 01/01/2011]',-11.100,-29.100,-21.400,-40.801,-43.401,0.688
'[00:00:00.002 01/01/2011]',-10.300,-28.200,-21.200,-40.501,-43.101,0.688
'[00:00:00.003 01/01/2011]',-9.800,-27.500,-20.900,-39.901,-42.601,0.688
'[00:00:00.004 01/01/2011]',-9.900,-27.200,-20.700,-39.101,-42.001,0.688
'[00:00:00.005 01/01/2011]',-10.400,-27.200,-20.400,-38.301,-41.301,0.688
'[00:00:00.006 01/01/2011]',-11.100,-27.400,-20.100,-37.601,-40.701,0.688
'[00:00:00.007 01/01/2011]',-11.600,-27.800,-19.800,-37.201,-40.401,0.688
'[00:00:00.008 01/01/2011]',-11.900,-28.300,-19.500,-37.101,-40.101,0.688
'[00:00:00.009 01/01/2011]',-12.000,-28.800,-19.100,-37.201,-39.901,0.688
'[00:00:00.010 01/01/2011]',-12.000,-29.400,-18.900,-37.301,-39.701,0.578
'[00:00:00.011 01/01/2011]',-11.500,-29.700,-18.700,-37.401,-39.401,0.578
'[00:00:00.012 01/01/2011]',-10.400,-29.800,-18.600,-37.201,-39.201,0.578
'[00:00:00.013 01/01/2011]',-8.800,-29.400,-18.500,-37.001,-39.201,0.578
'[00:00:00.014 01/01/2011]',-7.000,-28.800,-18.200,-36.601,-39.301,0.578
'[00:00:00.015 01/01/2011]',-5.900,-28.000,-17.900,-36.401,-39.601,0.578
'[00:00:00.016 01/01/2011]',-5.800,-27.300,-17.600,-36.201,-39.901,0.578
'[00:00:00.017 01/01/2011]',-6.800,-26.700,-17.300,-36.001,-39.901,0.578
'[00:00:00.018 01/01/2011]',-8.100,-26.200,-17.100,-35.801,-39.601,0.578
'[00:00:00.019 01/01/2011]',-9.000,-25.700,-17.000,-35.601,-38.901,0.578
'[00:00:00.020 01/01/2011]',-9.000,-25.100,-16.800,-35.201,-37.901,0.668
'[00:00:00.021 01/01/2011]',-8.300,-24.400,-16.300,-34.701,-36.801,0.668
'[00:00:00.022 01/01/2011]',-7.700,-23.600,-15.600,-34.001,-35.501,0.668
'[00:00:00.023 01/01/2011]',-7.900,-22.800,-14.600,-33.001,-34.201,0.668
'[00:00:00.024 01/01/2011]',-9.100,-22.100,-13.500,-31.700,-32.901,0.668
'[00:00:00.025 01/01/2011]',-10.700,-21.500,-12.500,-30.400,-31.600,0.668
'[00:00:00.026 01/01/2011]',-12.000,-21.000,-12.000,-29.400,-30.700,0.668
'[00:00:00.027 01/01/2011]',-12.400,-20.800,-11.700,-28.800,-30.300,0.668
'[00:00:00.028 01/01/2011]',-12.000,-20.800,-11.700,-28.700,-30.300,0.668
'[00:00:00.029 01/01/2011]',-11.600,-20.900,-11.500,-28.800,-30.500,0.668
'[00:00:00.030 01/01/2011]',-12.000,-20.900,-11.000,-28.800,-30.600,0.680
'[00:00:00.031 01/01/2011]',-13.400,-20.700,-10.300,-28.300,-30.300,0.680
'[00:00:00.032 01/01/2011]',-15.600,-20.300,-9.400,-27.500,-29.600,0.680
'[00:00:00.033 01/01/2011]',-17.800,-19.900,-8.600,-26.700,-28.700,0.680
'[00:00:00.034 01/01/2011]',-19.000,-19.800,-8.200,-26.300,-28.100,0.680
'[00:00:00.035 01/01/2011]',-18.900,-20.000,-8.200,-26.500,-28.100,0.680
'[00:00:00.036 01/01/2011]',-18.100,-20.400,-8.400,-27.000,-28.600,0.680
'[00:00:00.037 01/01/2011]',-17.100,-20.800,-8.900,-27.500,-29.400,0.680
'[00:00:00.038 01/01/2011]',-16.800,-20.700,-9.200,-27.600,-30.100,0.680
'[00:00:00.039 01/01/2011]',-17.500,-20.100,-9.400,-27.100,-30.200,0.680
'[00:00:00.040 01/01/2011]',-18.700,-19.000,-9.300,-26.100,-29.800,0.688
'[00:00:00.041 01/01/2011]',-19.600,-17.700,-9.000,-25.100,-28.900,0.688
'[00:00:00.042 01/01/2011]',-19.700,-16.600,-8.400,-24.200,-28.000,0.688
'[00:00:00.043 01/01/2011]',-18.800,-15.800,-7.800,-23.600,-27.000,0.688
'[00:00:00.044 01/01/2011]',-17.500,-15.400,-7.100,-23.100,-26.100,0.688
'[00:00:00.045 01/01/2011]',-16.600,-15.300,-6.600,-22.400,-25.300,0.688
'[00:00:00.046 01/01/2011]',-16.900,-15.300,-6.300,-21.400,-24.500,0.688
'[00:00:00.047 01/01/2011]',-18.300,-15.300,-6.200,-20.200,-23.800,0.688
'[00:00:00.048 01/01/2011]',-20.600,-15.400,-6.000,-19.100,-23.100,0.688
'[00:00:00.049 01/01/2011]',-22.800,-15.400,-5.600,-18.400,-22.400,0.688
