'Time and date','Direct_1','Abdomen_1','Abdomen_2','Abdomen_3','Abdomen_4','EDF Annotations'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV',''
'[00:00:00.000 01/01/2011]',-18.600,20.700,-23.600,-1.400,-18.500,0.688
'[00:00:00.001 01/01/2011]',-20.100,20.500,-23.500,-1.400,-18.700,0.688
'[00:00:00.002 01/01/2011]',-21.400,20.000,-23.400,-1.400,-19.000,0.688
'[00:00:00.003 01/01/2011]',-22.200,19.600,-23.300,-1.400,-19.100,0.688
'[00:00:00.004 01/01/2011]',-22.400,19.100,-23.400,-1.600,-19.200,0.688
'[00:00:00.005 01/01/2011]',-22.200,18.600,-23.500,-2.000,-19.100,0.688
'[00:00:00.006 01/01/2011]',-21.900,18.000,-23.900,-2.700,-19.200,0.688
'[00:00:00.007 01/01/2011]',-21.900,17.300,-24.600,-3.400,-19.200,0.688
'[00:00:00.008 01/01/2011]',-22.200,16.500,-25.300,-4.100,-19.200,0.688
'[00:00:00.009 01/01/2011]',-22.700,16.000,-26.000,-4.600,-18.900,0.688
'[00:00:00.010 01/01/2011]',-23.000,15.700,-26.500,-4.800,-18.200,0.578
'[00:00:00.011 01/01/2011]',-23.200,15.800,-26.700,-4.800,-17.200,0.578
'[00:00:00.012 01/01/2011]',-23.100,16.000,-26.700,-4.600,-16.300,0.578
'[00:00:00.013 01/01/2011]',-22.900,16.100,-26.600,-4.600,-15.700,0.578
'[00:00:00.014 01/01/2011]',-22.600,16.000,-26.700,-4.600,-15.500,0.578
'[00:00:00.015 01/01/2011]',-22.200,15.800,-27.100,-4.700,-15.900,0.578
'[00:00:00.016 01/01/2011]',-21.700,15.500,-27.700,-4.800,-16.500,0.578
'[00:00:00.017 01/01/2011]',-21.000,15.300,-28.400,-4.800,-17.000,0.578
'[00:00:00.018 01/01/2011]',-20.500,15.200,-29.100,-4.700,-17.300,0.578
'[00:00:00.019 01/01/2011]',-20.600,15.100,-29.700,-4.700,-17.300,0.578
'[00:00:00.020 01/01/2011]',-21.300,14.800,-30.000,-4.700,-17.000,0.668
'[00:00:00.021 01/01/2011]',-22.500,14.400,-30.100,-4.700,-16.500,0.668
'[00:00:00.022 01/01/2011]',-23.900,14.000,-30.000,-4.700,-16.000,0.668
'[00:00:00.023 01/01/2011]',-24.700,13.700,-29.900,-4.500,-15.700,0.668
'[00:00:00.024 01/01/2011]',-24.900,13.500,-30.000,-4.300,-15.500,0.668
'[00:00:00.025 01/01/2011]',-24.400,13.400,-30.400,-4.200,-15.400,0.668
'[00:00:00.026 01/01/2011]',-23.800,13.300,-31.000,-4.200,-15.300,0.668
'[00:00:00.027 01/01/2011]',-23.400,13.200,-31.600,-4.400,-15.100,0.668
'[00:00:00.028 01/01/2011]',-23.400,12.800,-32.000,-4.700,-14.800,0.668
'[00:00:00.029 01/01/2011]',-23.500,12.200,-32.100,-4.800,-14.300,0.668
