'Time and date','Direct_1','Abdomen_1','Abdomen_2','Abdomen_3','Abdomen_4','EDF Annotations'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV',''
'[00:00:00.000 01/01/2011]',-42.901,71.601,65.501,17.300,27.500,0.688
'[00:00:00.001 01/01/2011]',-44.401,70.701,63.201,15.200,25.700,0.688
'[00:00:00.002 01/01/2011]',-46.901,69.401,60.501,13.400,23.700,0.688
'[00:00:00.003 01/01/2011]',-49.401,68.101,57.701,12.300,21.800,0.688
'[00:00:00.004 01/01/2011]',-50.601,67.001,55.401,11.900,20.300,0.688
'[00:00:00.005 01/01/2011]',-50.101,66.101,53.501,12.100,19.200,0.688
'[00:00:00.006 01/01/2011]',-48.101,65.301,51.901,12.600,18.600,0.688
'[00:00:00.007 01/01/2011]',-45.401,64.601,50.401,13.400,18.400,0.688
'[00:00:00.008 01/01/2011]',-43.001,64.201,49.201,14.300,18.800,0.688
'[00:00:00.009 01/01/2011]',-41.501,64.401,48.501,15.600,20.000,0.688
'[00:00:00.010 01/01/2011]',-41.101,65.501,48.601,17.300,21.900,0.578
'[00:00:00.011 01/01/2011]',-41.701,67.301,49.601,19.100,24.400,0.578
'[00:00:00.012 01/01/2011]',-42.601,69.301,51.001,20.900,27.000,0.578
'[00:00:00.013 01/01/2011]',-43.401,70.901,52.101,22.300,29.100,0.578
'[00:00:00.014 01/01/2011]',-43.601,71.801,52.401,23.100,30.400,0.578
'[00:00:00.015 01/01/2011]',-43.101,71.901,51.801,23.200,30.800,0.578
'[00:00:00.016 01/01/2011]',-42.101,71.301,50.501,22.800,30.500,0.578
'[00:00:00.017 01/01/2011]',-41.001,70.201,49.201,22.100,29.900,0.578
'[00:00:00.018 01/01/2011]',-40.301,68.701,48.301,21.100,29.000,0.578
'[00:00:00.019 01/01/2011]',-40.301,66.701,47.801,19.900,28.000,0.578
'[00:00:00.020 01/01/2011]',-41.001,64.301,47.501,18.300,26.900,0.668
'[00:00:00.021 01/01/2011]',-42.301,61.601,47.001,16.600,25.600,0.668
'[00:00:00.022 01/01/2011]',-43.901,59.101,46.201,15.100,24.300,0.668
'[00:00:00.023 01/01/2011]',-45.501,57.401,45.201,14.100,23.400,0.668
'[00:00:00.024 01/01/2011]',-47.101,56.701,44.601,14.000,23.000,0.668
'[00:00:00.025 01/01/2011]',-48.301,56.901,44.601,14.600,23.300,0.668
'[00:00:00.026 01/01/2011]',-48.801,57.701,45.201,15.600,24.200,0.668
'[00:00:00.027 01/01/2011]',-48.601,58.501,46.101,16.600,25.000,0.668
'[00:00:00.028 01/01/2011]',-47.701,59.001,46.901,16.900,25.500,0.668
'[00:00:00.029 01/01/2011]',-46.501,58.801,47.001,16.500,25.400,0.668
'[00:00:00.030 01/01/2011]',-45.401,58.101,46.401,15.300,24.800,0.680
'[00:00:00.031 01/01/2011]',-44.701,57.101,45.501,13.800,24.000,0.680
'[00:00:00.032 01/01/2011]',-44.501,56.001,44.701,12.300,23.300,0.680
'[00:00:00.033 01/01/2011]',-44.801,55.001,44.401,11.100,22.900,0.680
'[00:00:00.034 01/01/2011]',-45.401,54.001,45.001,10.400,22.900,0.680
'[00:00:00.035 01/01/2011]',-46.501,53.101,46.501,10.200,23.100,0.680
'[00:00:00.036 01/01/2011]',-48.001,52.401,48.601,10.400,23.300,0.680
'[00:00:00.037 01/01/2011]',-49.601,52.001,50.901,11.000,23.500,0.680
'[00:00:00.038 01/01/2011]',-50.701,52.101,52.901,12.000,23.700,0.680
'[00:00:00.039 01/01/2011]',-50.701,52.901,54.501,13.100,24.000,0.680
'[00:00:00.040 01/01/2011]',-49.401,54.401,55.401,14.100,24.600,0.688
'[00:00:00.041 01/01/2011]',-47.101,56.001,55.701,14.900,25.100,0.688
'[00:00:00.042 01/01/2011]',-44.601,57.501,55.501,15.000,25.400,0.688
'[00:00:00.043 01/01/2011]',-42.701,58.201,55.101,14.400,25.200,0.688
'[00:00:00.044 01/01/2011]',-41.601,58.101,54.601,13.300,24.600,0.688
'[00:00:00.045 01/01/2011]',-41.101,57.601,54.201,12.000,23.900,0.688
'[00:00:00.046 01/01/2011]',-40.501,57.301,54.001,11.100,23.400,0.688
'[00:00:00.047 01/01/2011]',-39.301,58.001,54.301,11.200,23.700,0.688
'[00:00:00.048 01/01/2011]',-37.801,59.701,55.001,12.300,24.600,0.688
'[00:00:00.049 01/01/2011]',-36.201,62.101,55.801,14.000,26.000,0.688
'[00:00:00.050 01/01/2011]',-35.101,64.001,56.401,15.400,27.200,0.579
'[00:00:00.051 01/01/2011]',-34.701,64.601,56.401,16.000,27.700,0.579
'[00:00:00.052 01/01/2011]',-34.801,63.401,55.501,15.400,27.500,0.579
'[00:00:00.053 01/01/2011]',-35.101,60.701,54.101,14.000,26.900,0.579
'[00:00:00.054 01/01/2011]',-35.501,57.501,52.601,12.400,26.500,0.579
'[00:00:00.055 01/01/2011]',-35.801,55.001,51.701,11.500,26.600,0.579
'[00:00:00.056 01/01/2011]',-35.901,54.001,51.501,11.500,27.100,0.579
'[00:00:00.057 01/01/2011]',-35.801,54.301,52.001,12.200,27.500,0.579
'[00:00:00.058 01/01/2011]',-35.401,55.601,52.801,12.900,27.200,0.579
'[00:00:00.059 01/01/2011]',-34.701,56.901,53.401,13.100,26.000,0.579
'[00:00:00.060 01/01/2011]',-33.901,57.801,53.701,12.700,24.000,0.822
'[00:00:00.061 01/01/2011]',-33.301,58.201,53.801,12.000,22.000,0.822
'[00:00:00.062 01/01/2011]',-33.101,58.401,53.801,11.700,21.000,0.822
'[00:00:00.063 01/01/2011]',-33.301,58.401,53.901,12.000,21.100,0.822
'[00:00:00.064 01/01/2011]',-34.001,58.201,54.001,12.900,22.200,0.822
'[00:00:00.065 01/01/2011]',-35.201,57.501,54.001,13.700,23.600,0.822
'[00:00:00.066 01/01/2011]',-36.701,56.001,53.701,13.900,24.400,0.822
'[00:00:00.067 01/01/2011]',-38.601,54.001,53.101,13.300,24.200,0.822
'[00:00:00.068 01/01/2011]',-40.701,51.701,52.401,12.200,23.100,0.822
'[00:00:00.069 01/01/2011]',-42.601,49.801,51.601,11.000,21.600,0.822
'[00:00:00.070 01/01/2011]',-44.201,48.701,50.801,10.100,20.200,0.579
'[00:00:00.071 01/01/2011]',-45.001,48.301,49.801,9.700,18.900,0.579
'[00:00:00.072 01/01/2011]',-45.101,48.701,48.801,9.500,18.100,0.579
'[00:00:00.073 01/01/2011]',-44.601,49.601,48.101,9.400,17.700,0.579
'[00:00:00.074 01/01/2011]',-43.801,51.101,47.901,9.300,17.800,0.579
'[00:00:00.075 01/01/2011]',-42.801,53.101,48.501,9.400,18.400,0.579
'[00:00:00.076 01/01/2011]',-42.301,55.301,49.701,9.700,19.400,0.579
'[00:00:00.077 01/01/2011]',-42.401,57.301,51.301,10.200,20.400,0.579
'[00:00:00.078 01/01/2011]',-43.601,58.401,52.701,10.600,21.000,0.579
'[00:00:00.079 01/01/2011]',-45.501,58.401,53.701,10.800,20.900,0.579
'[00:00:00.080 01/01/2011]',-47.901,57.201,54.001,10.600,20.300,0.668
'[00:00:00.081 01/01/2011]',-50.001,55.601,54.001,10.200,19.400,0.668
'[00:00:00.082 01/01/2011]',-51.601,54.301,53.901,9.600,18.400,0.668
'[00:00:00.083 01/01/2011]',-53.101,53.801,53.501,9.100,17.700,0.668
'[00:00:00.084 01/01/2011]',-54.801,54.201,53.101,8.800,17.000,0.668
'[00:00:00.085 01/01/2011]',-57.001,54.801,52.401,8.600,16.300,0.668
'[00:00:00.086 01/01/2011]',-59.601,55.101,51.701,8.500,15.700,0.668
'[00:00:00.087 01/01/2011]',-61.501,54.901,51.201,8.300,15.300,0.668
